pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,target,predicted_label,predicted_proba
EPIC 201111557.01,EPIC 201111557,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.30183,0.00028,-0.0003,0.0,,,,,1.12,0.11,-0.08,0.0,0.0999,0.0098,-0.007,0.0,,,,,,,,,,,,,,,,,,1054.0,55.0,-55.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4616.52,82.36,-115.56,0.0,0.762602,0.053651,-0.037585,0.0,0.73,0.084105,-0.081044,0.0,-0.03,0.034,-0.034,0.0,[M/H],4.53679,0.075486,-0.090593,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,2018-08-02,2018-08,2018-08-02,-1,1,0.87
EPIC 201127519.01,EPIC 201127519,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,6.17887,7e-05,-7e-05,0.0,,,,,8.84,0.14,-0.13,0.0,0.789,0.012,-0.012,0.0,,,,,,,,,,,,,,,,,,772.0,10.0,-10.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4719.28,100.72,-112.19,0.0,0.849432,0.053904,-0.052076,0.0,0.756,0.096466,-0.080306,0.0,0.213,0.041,-0.041,0.0,[M/H],4.45833,0.062492,-0.110798,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,2018-08-02,2018-08,2018-08-02,-1,1,0.98
EPIC 201352100.01,EPIC 201352100,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,13.38382,0.00116,-0.00114,0.0,,,,,2.7,0.17,-0.1,0.0,0.24,0.015,-0.009,0.0,,,,,,,,,,,,,,,,,,608.0,9.0,-9.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5113.71,102.61,-100.12,0.0,0.65973,0.034864,-0.034925,0.0,0.86,0.105443,-0.096745,0.0,0.192,0.037,-0.037,0.0,[M/H],4.73383,0.070764,-0.081435,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h16m08.43s,184.0351247,-01d40m25.54s,-1.6737612,194.195,3.666,-3.535,13.002,0.08,-0.08,10.708,0.021,-0.021,12.6813,0.000146,-0.000146,2018-08-02,2018-08,2018-08-02,-1,1,0.99
EPIC 201392505.01,EPIC 201392505,1,CANDIDATE,Livingston et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,27.47083,0.01089,-0.01286,0.0,,,,,3.36,0.26,-0.18,0.0,0.3,0.023,-0.016,0.0,,,,,,,,,,,,,,,,,,480.0,7.0,-7.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4947.03,127.92,-127.97,0.0,0.749863,0.038988,-0.0685,0.0,0.81,0.120024,-0.083058,0.0,-0.2022,0.0838,-0.0838,0.0,[M/H],4.59659,0.090565,-0.096421,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h12m45.23s,183.188479,-01d04m29.39s,-1.0748315,273.773,6.33,-6.056,13.687,0.103,-0.103,11.282,0.026,-0.026,13.3313,0.00051,-0.00051,2018-08-02,2018-08,2018-08-02,-1,1,0.9
EPIC 201456770.01,EPIC 201456770,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,8.006875,0.001371,-0.001314,0.0,,,,,2.384,0.21,-0.189,0.0,0.2126866,0.01873498,-0.01686148,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,G8,5403.0,138.0,-138.0,0.0,0.846,0.056,-0.051,0.0,0.904,0.395,-0.272,0.0,-0.047,0.235,-0.235,0.0,[Fe/H],4.538,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h22m47.38s,185.6973984,-00d07m18.78s,-0.1218824,511.581,7.718,-7.718,14.285,0.172,-0.172,12.283,0.023,-0.023,13.9771,0.000269,-0.000269,2021-11-19,2021-12,2021-11-19,-1,1,0.93
EPIC 201541160.01,EPIC 201541160,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,15.695142,0.001569,-0.001715,0.0,,,,,2.028,0.195,-0.168,0.0,0.18092635,0.01739676,-0.01498798,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K5,4270.0,138.0,-138.0,0.0,0.625,0.047,-0.043,0.0,0.743,0.339,-0.228,0.0,-0.315,0.235,-0.235,0.0,[Fe/H],4.719,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h52m14.18s,163.0590829,+01d09m17.23s,1.1547858,197.438,1.014,-1.005,14.263,0.08,-0.08,11.226,0.025,-0.025,13.7783,0.000292,-0.000292,2021-11-19,2021-12,2021-11-19,-1,1,0.97
EPIC 201639576.01,EPIC 201639576,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,7.655533,0.000682,-0.000589,0.0,,,,,2.328,0.196,-0.185,0.0,0.20769061,0.01748598,-0.01650462,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K0,5114.0,138.0,-138.0,0.0,0.751,0.055,-0.05,0.0,1.004,0.455,-0.308,0.0,-0.144,0.235,-0.235,0.0,[Fe/H],4.687,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m14.49s,166.0603718,+02d39m20.84s,2.6557881,495.707,12.129,-11.572,14.699,0.069,-0.069,12.55,0.03,-0.03,14.4478,0.00033,-0.00033,2021-11-19,2021-12,2021-11-19,-1,1,0.81
EPIC 201920032.01,EPIC 201920032,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=SCHMITT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..159S/abstract target=ref>Schmitt et al. 2016</a>,28.2717,0.0141,-0.0139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5564.0,95.12,-123.61,0.0,1.02594,0.058864,-0.044131,0.0,0.98,0.092038,-0.153491,0.0,-0.01,0.1,-0.1,0.0,[M/H],4.40705,0.073193,-0.075664,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977,399.976,8.063,-7.756,13.171,0.092,-0.092,11.364,0.025,-0.025,12.9033,0.000283,-0.000283,2016-06-09,2016-06,2016-06-09,-1,1,0.93
EPIC 205943325.01,EPIC 205943325,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,27.270191,0.003222,-0.003438,0.0,,,,,2.5,0.175,-0.167,0.0,0.22303545,0.01561248,-0.01489877,0.0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,F8,6171.0,138.0,-138.0,0.0,1.612,0.101,-0.095,0.0,1.275,0.552,-0.389,0.0,-0.077,0.235,-0.235,0.0,[Fe/H],4.129,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h13m55.15s,333.4797735,-16d35m35.49s,-16.5931905,377.061,11.735,-11.059,11.535,0.021,-0.021,10.063,0.025,-0.025,11.2714,0.000506,-0.000506,2021-11-19,2021-12,2021-11-19,-1,1,0.75
EPIC 206461841.01,EPIC 206461841,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,10.4404,0.0007,-0.0011,0.0,0.0828,0.0034,-0.0035,0.0,0.6739,0.0394,-0.037,0.0,0.06012143,0.00351504,-0.00330092,0.0,,,,,,,,,,,,,,41.745,,,0.0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,4893.0,119.0,-119.0,0.0,0.746,0.047,-0.047,0.0,0.8,0.093,-0.093,0.0,0.04,0.048,-0.048,0.0,[Fe/H],4.596,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m14.59s,339.060796,-05d36m09.70s,-5.6026936,100.694,0.587,-0.579,11.055,0.017,-0.017,9.173,0.02,-0.02,11.2315,0.000795,-0.000795,2022-11-07,2022-10,2022-11-07,-1,1,0.82
